category,title,description,views,likes,comments,publishedAt
Gaming,FORTNITEMARES Is FINALLY Here!,"Fortnite Fortnitemares Update Chapter 5, Season 4 gameplay with Typical Gamer!
❤️ SUBSCRIBE & CLICK THE BELL! 🔔

MY GAMES in FORTNITE!
🔴 PLAY SUPER RED vs BLUE ► 2786-2114-8349
🔵 PLAY SUPER RED vs BLUE - ZERO BUILD ► 2037-4314-7548
🚀 PLAY ONLYUP TIME TRAVEL ► 5264-1761-9807
🧸 PLAY TOY BED WARS ► 5471-4550-8290
🥜 PLAY FORTNUT GUN GAME ► 8500-5091-3965
💥 PLAY RANKED BOX PVP ► 5178-8855-9263
❤️ Make sure to FAVORITE and LIKE the maps if you enjoy them!

Use my Support a Creator code ""TypicalGamer"" in the Fortnite item shop if you'd like to support me! (Epic Partner)

Join my Discord: https://discord.gg/tgelite
Buy my Merch: https://typical.store
Follow me on Twitter: https://www.twitter.com/typicalgamer
Follow me on Instagram: https://www.instagram.com/typicalgamer

Music by Epidemic Sound: https://www.epidemicsound.com",763865,14573,1043,2024-10-12T11:25:27Z
Gaming,Roblox Dress to Impress ⭐ Halloween Costume Challenge ⭐,"This game was surprisingly more fun than expected. Let us know who you think won each round!
🆕 Get your copy of our new Book, FGTEEV Blasts Off 🆕 ➡  https://amzn.to/4asM3CY",320325,9548,2677,2024-10-12T14:00:15Z
Gaming,"$1 VS $1,000,000 Tank!","Play War Thunder now with my link, and get a massive, free bonus pack including vehicles, boosters, and more: https://playwt.link/unspeakable  Thanks to War Thunder for sponsoring this video.
War Thunder is a highly detailed vehicle combat game containing over 2000 playable tanks, aircrafts, and ships spanning over 100 years of development. Immerse yourself completely in dynamic battles with an unparalleled combination of realism and approachability.

WANT TO BE A YOUTUBER? JOIN TODAY - https://www.bluprintuniversity.com/

SHOP NOW - https://www.unspeakable.com/

MORE VIDEOS! - https://www.youtube.com/channel/UCet_y01v87pE7MPGikjTQQw

FOLLOW ME! - https://www.unspeakable.com/pages/links

PLEASE leave a like & subscribe this video was expensive!! THANK YOU! I love tacos",345023,8068,906,2024-10-12T15:00:46Z
Gaming,#ad INSANE LEVELS ALL DAYYYY,"DONATIONS https://streamelements.com/vampyro111-f1337/tip
DISCORD: https://discord.gg/CXV4gzceGq",1592027,6285,8,2024-10-12T19:31:15Z
Gaming,Worlds 2024 - Swiss Stage - Round 4 Day 3,"WORLDS 2024: MAKE THEM BELIEVE

Worlds is the pinnacle of LoL Esports competition, where for 6 weeks of thrilling, high-stakes international competition across Berlin, Paris, and London, the best League of Legends teams in the world will battle for the Summoner’s Cup.

PLAY-INS STAGE: SEPT 25-29
SWISS STAGE: OCT 03-07, 10-13
QUARTERFINALS: OCT 17-20
SEMIFINALS: OCT 26-27
FINALS: NOV 02

Watch #Worlds2024 and give in to belief at https://lolesports.com

Play-In Stage: Sept 25 - 29
Swiss Stage: Oct 3 - 13
Knockout Stage: Oct 17 - Nov 2
Grand Final & Opening Ceremony: Nov 2

To stay up to date with the best of #Worlds2024, follow LoL Esports on social media:

Twitter:  / lolesports  
Facebook:  / lolesports  
Instagram:  / lolesports  
TikTok:   / lolesports  
Meta Threads: https://www.threads.net/@lolesports 
Whatsapp: https://whatsapp.com/channel/0029VaoX...

Download League of Legends now: http://leagueoflegends.com/download",1731340,10507,145,2024-10-12T17:57:18Z
Gaming,Fortnitemares 2024 Gameplay Trailer,"Do you want to play a game… of Fortnite?

Get your chainsaws ready, Fortnitemares is back with more frightening festivities for 2024 until November 1st. Read more: https://fn.gg/Fortnitemares2024

Play Fortnite Battle Royale, the completely free 100-player PvP mode. One giant map, A Battle Bus, Last one standing wins. ESRB Rating: Teen with Violence.

Instagram: https://www.instagram.com/fortnite/​
Twitter: https://twitter.com/FortniteGame​
Facebook: https://www.facebook.com/FortniteGame/​
TikTok: https://www.tiktok.com/@Fortnite

Learn More: https://www.epicgames.com/fortnite/en-US/home

fortnite, fortnitemares, halloween, october",1721237,67801,4427,2024-10-11T14:29:42Z
Gaming,Garten of BanBan 7,"We're gonna BanBan harder than ever in this Garten... 7 times as hard as before! Also Chapter 5 literally never exists in anything ever. Shush.
LISTEN TO DISTRACTIBLE ►► https://open.spotify.com/show/2X40qLyoj1wQ2qE5FVpA7x
MY COMFY CLOTHES ► https://cloakbrand.com/

Edited By ► https://www.youtube.com/LixianTV

GARTEN YOUR BANBAN ► https://store.steampowered.com/app/2499800/Garten_of_Banban_6/

Scary Games Playlist ► https://www.youtube.com/playlist?list=PL3tRBEVW0hiBSFOFhTC5wt75P2BES0rAo

Horror Outro ► https://soundcloud.com/shurkofficial/haunted",818903,46326,2783,2024-10-11T19:38:53Z
Gaming,NEW UPDATE *FORTNITEMARES* is HERE!! (Fortnite Halloween),"New Fortnite Halloween update coutndown Fortnitemares gameplay live stream with Typical Gamer!
🔴🔵 Play SUPER Red vs Blue! Search ""SUPER"" on Fortnite or use code ► 2786-2114-8349
❤️ SUBSCRIBE! ► http://bit.ly/SubToTG

MY GAMES in FORTNITE!
🔴 PLAY SUPER RED vs BLUE - ZERO BUILD ► 2037-4314-7548
🚀 PLAY ONLYUP TIME TRAVEL ► 5264-1761-9807
🧸 PLAY TOY BED WARS ► 5471-4550-8290
🥜 PLAY FORTNUT GUN GAME ► 8500-5091-3965
💥 PLAY RANKED BOX PVP ► 5178-8855-9263
❤️ Make sure to FAVORITE and LIKE the maps if you enjoy them!

Use my Support a Creator code ""TypicalGamer"" in the Fortnite item shop if you'd like to support me! (Epic Partner)

Join the Discord: https://discord.gg/tgelite
Buy the Merch: https://typical.store
Follow me on Twitter: https://www.twitter.com/typicalgamer
Follow me on Instagram: https://www.instagram.com/typicalgamer",1771381,24885,814,2024-10-12T12:49:22Z
Gaming,Step Right Up,"SEE YOU 19th OCTOBER FRIENDS!!!!!!!!

Credit to @zeekrocz117 for animating the trailer!

Grab some MERCH to help support the channel 😃 ► http://smg4.store
SUBSCRIBE ► http://bit.ly/2mcYfnh

----------------------------------------------------------------
FOLLOW ME ON SOCIAL MEDIA
•  Twitter ➤ https://twitter.com/smg4official
•  Instagram ➤ https://www.instagram.com/smg4official
•  TikTok ➤ https://www.tiktok.com/@smg4official",343651,32006,5010,2024-10-12T16:00:26Z
Gaming,My Mom CONTROLS my Fortnite Game 😡,"My Mom CONTROLS my Fortnite Game 😡
𝐒𝐔𝐁𝐒𝐂𝐑𝐈𝐁𝐄 👉 ​⁠@RoyaltyGaming1 
𝐒𝐔𝐁𝐒𝐂𝐑𝐈𝐁𝐄 To Royalty Family 👉 @royaltyfam 

#Ferran #Roblox #TheRoyaltyFamily

BUSINESS INQUIRIES ➡ RoyaltyFamBusiness@Gmail.com

Watch our RECENT VIDEOS  ➡ https://bit.ly/344x8is

Watch Our POPULAR VIDEOS! ➡ http://bit.ly/2NgagCx

Watch Our CHALLENGES  ➡ https://bit.ly/3k7LWm7

Welcome To The ROYALTY GAMING Channel. Come Join us while Ferran and Ali Play Fun games like Fortnite, Minecraft, Roblox, Among Us and Many More!!  Don’t forget to SUBSCRIBE!!

My Mom CONTROLS my Fortnite Game 😡
https://youtu.be/DiKTbnGMpG4

Royalty Gaming
https://www.youtube.com/channel/UCemhZ2At2lgifTJLClGCz9A",336070,8110,1444,2024-10-12T15:41:38Z
News,"Major Hurricane Milton Landfall, As It Happened","Support the channel here: http://www.shopryanhall.com 
Internet provided by: https://isptek.co/

Support the Y'all Squad here: http://www.theyallsquad.org 


WANT TO BECOME A MEMBER? CLICK HERE:
https://www.youtube.com/channel/UCJHAT3Uvv-g3I8H3GhHWV7w/join

VIRTUAL RAILFAN 
https://www.youtube.com/@VirtualRailfan
_____________________________________
Check out the Y'all Squad discord server!
https://discord.gg/ryanhallyall

Follow me on these things:

https://www.facebook.com/ryanhallyall
https://twitter.com/ryanhallyall
https://www.instagram.com/ryanhallyall/
https://www.twitch.tv/ryanhallyall

Send us something in the mail!
PO Box 2668
Pikeville, KY 41501

#news #livenews #liveweather",12699859,185785,1153,2024-10-10T03:41:00Z
News,"Trump Farts on Stage, MAGA Nuts Push Insane Weather Lies & Mr. USA's Products Are Made in CHINA!","More than 3 million residents of Florida are without power after Hurricane Milton made its way through, Trumpers have been blaming the White House for the mess even though two weeks ago 11 House Republicans from Florida voted against keeping the Government and FEMA fully funded, Marjorie Taylor Greene is pushing this bonkers idea that Democrats can somehow control the weather to target Republican voting districts, a group of funny guys called The Good Liars were in Reading, Pennsylvania where they met a woman who actually believes this,  we have reached the point of the campaign where Kamala Harris’ emails are making Jimmy feel like he’s going through a break-up, Trump is going all-in on these absolutely bogus stories about forced gender-swaps in schools, is letting out gas onstage, spent some time in Detroit badmouthing Detroit, he’s mad at Whoopi Goldberg for using foul language even though he uses profanity all the time, Jimmy has a new theory that Trump is King Midas and he thinks everything he touches will turn into gold, Mr. Made in the USA is out there promising tariffs on China even though many of the items he is hawking are made there, and there is a new non-official Trump product called Trumpy Trout.

SUBSCRIBE to get the latest #Kimmel: http://bit.ly/JKLSubscribe
 
Follow Jimmy Kimmel on Instagram: https://bit.ly/KimmelInstagram 
Follow Jimmy Kimmel Live on Instagram: http://bit.ly/JKLInstagram
Follow Jimmy Kimmel Live on TikTok: https://bit.ly/JKLTikTok 
Like Jimmy Kimmel on Facebook: http://bit.ly/KimmelFB  
Like Jimmy Kimmel Live on Facebook: http://bit.ly/JKLFacebook  
Visit the Jimmy Kimmel Live Website : http://bit.ly/JKLWebsite 
 
About Jimmy Kimmel Live: 
 
Jimmy Kimmel serves as host and executive producer of Emmy® nominated “Jimmy Kimmel Live,” ABC’s late-night talk show. “Jimmy Kimmel Live” is well known for its viral video successes, with over 16 billion views and more than 19 million subscribers on the show’s YouTube channel. Some of Kimmel’s most popular comedy bits include Celebrities Read Mean Tweets, Lie Witness News, Halloween Candy YouTube Challenge, Jimmy and Cousin Sal pranking Aunt Chippy and music stars like Rihanna and Dua Lipa surprising Jimmy in the middle of the night.",3850920,115989,10439,2024-10-11T03:45:00Z
News,"""We Gotta Get Out Of Here:"" Home Vanishes Underwater","Terrifying video from Hendersonville, North Carolina, shows a home vanishing under chest-high waters during Hurricane Helene as residents try to keep their pets safe. #helene #hurricane #northcarolina #hendersonville #shorts",7645194,210276,19710,2024-10-03T18:13:19Z
News,Kamala Harris: The 2024 60 Minutes Interview,"Watch as Vice President Kamala Harris discusses the economy, immigration, the ongoing war in the Mideast, and the differences between herself and former President Trump during a 2024 election interview.

#news #election2024 #politics 

""60 Minutes"" is the most successful television broadcast in history. Offering hard-hitting investigative reports, interviews, feature segments and profiles of people in the news, the broadcast began in 1968 and is still a hit, over 50 seasons later, regularly making Nielsen's Top 10.

Subscribe to the “60 Minutes” YouTube channel: http://bit.ly/1S7CLRu
Watch full episodes: http://cbsn.ws/1Qkjo1F
Get more “60 Minutes” from “60 Minutes: Overtime”: http://cbsn.ws/1KG3sdr
Follow “60 Minutes” on Instagram: http://bit.ly/23Xv8Ry
Like “60 Minutes” on Facebook: http://on.fb.me/1Xb1Dao
Follow “60 Minutes” on Twitter: http://bit.ly/1KxUsqX
Subscribe to our newsletter: http://cbsn.ws/1RqHw7T
Download the CBS News app: http://cbsn.ws/1Xb1WC8
Try Paramount+ free: https://bit.ly/2OiW1kZ

For video licensing inquiries, contact: licensing@veritone.com",3244598,70147,41895,2024-10-08T00:07:00Z
News,Hurricane Milton: Tornado sweeps over bridge during meteorologist's live report,Fox 4 Meteorologist Trent Aric was live on air as an apparent tornado sweeped over the Matlacha Bridge. Conditions deteriorated rapidly on Wednesday as Hurricane Milton approached.,8279003,46381,5479,2024-10-09T16:41:32Z
News,"Trump On Who Really Tried to Kill Him, Abortion & More","Yerr we got Trump on the pod today to break down his stance on abortion, who he really thinks tried to take him out, and his FAVORITE African-American. This might be Trumps longest interview ever, a classic for sure. INDULGE!

0:00 Intro
1:10 How did Trump raise his children?
5:22 How to instill ambition in your children?
7:30 New technology + Linear media still needed 
8:11 Trump’s favorite African-American
10:48 Surviving the assassination attempt + Opening line
13:03 Trump wanted to finish his speech!
16:41 “Impossible to miss”
18:29 Did it increase Trump’s spirituality?
19:18 Who does Trump think tried to get him?
23:54 Apple refusing to open the phones?
25:04 If you had to say who did it…
28:21 Trump loves to weave + Iran?
33:40 We were being ripped off by our Allies
36:18 How to assess World Leaders?
38:36 Trump was close to denuclearization + Too destructive
40:35 Tough Scottish Moms + Trump’s parents
46:14 Trump’s humor, Putin + Covid was a Lab leak
49:22 Biden’s special ability
50:40 Immigration + path to Citizenship
55:40 Trump going after the New York Times over Russiagate
1:00:01 Trump’s the biggest influencer + Great names
1:05:13 Pence didn’t do what Trump asked him
1:06:45 Abortion, Support for exceptions + Wrong to attack IVF
1:15:34 Arizona has gone too far with their abortion ban
1:17:16 What does Trump want his legacy to be?
1:21:35 There will be elections, even if Trump wins
1:23:20 Rhetoric being extreme + Things that don’t make the news
1:27:12 Abraham Accords deserved more credit",3452788,144616,32967,2024-10-09T12:24:00Z
News,Peter Doocy Puts Karine Jean-Pierre On The Spot,"👉 T-SHIRTS & MUGS: https://redshorts.creator-spring.com
✉️ EMAIL:  redshortsyt22@gmail.com

Fair use applies when using copyrighted material for purposes such as commentary, criticism, news reporting, teaching, scholarship, or research, which I do with the content I create. Typically, I point something out or give my own opinion. These videos are for entertainment and informational purposes based on the creator's opinion and are not meant to offend. If you would like to request the removal of a video clip that belongs to you, please email me at redshortsyt22@gmail.com or contact me on X at https://x.com/RedShortsYT

If you enjoy channels like Daily Dose of Masculinity, Wisemind, Pandreo, and Quest PowerUp, you will enjoy this channel.",1404493,92826,6028,2024-10-09T05:30:37Z
News,"Megyn Kelly on Why Kamala Harris' Terrible Answer on ""The View"" is Being Made Into a Trump Ad Now","Megyn Kelly on why Kamala Harris' terrible answer on ""The View"" is being made into a Trump ad now.

LIKE & SUBSCRIBE for new videos everyday: https://bit.ly/3Aw93yw

Watch full clips of The Megyn Kelly Show here: https://bit.ly/3xFXNxI

Sign up for my 'American News Minute' weekly email: https://www.megynkelly.com

Tune in live on SiriusXM at 12-2pmET: SiriusXM.us/TheMegynKellyShow

Find the full audio show wherever you get your podcasts:
Apple — https://podcasts.apple.com/us/podcast/the-megyn-kelly-show/id1532976305
Spotify — https://open.spotify.com/show/0awxEJH88Xur0GHXuteBLw?si=0EcxxHSLQhO2uYmpUN13KQ&dl_branch=1

Follow The Megyn Kelly Show on all social platforms:
Twitter — https://twitter.com/MegynKellyShow
Instagram — https://www.instagram.com/megynkellyshow/
Facebook — https://www.facebook.com/MegynKellyShow

Connect with me on social media:
Twitter — https://twitter.com/megynkelly
Instagram — https://www.instagram.com/megynkelly/
Facebook — https://www.facebook.com/MegynKelly",1275494,62157,2659,2024-10-08T23:00:11Z
News,The FAA Blocked Elon From Getting Starlinks to Hurricane Victims,"Corporate media is dead. Join us: bit.ly/49wv3dU

Text “TUCKER” to 44055 for exclusive updates.

#politics #tuckercarlson #interview #conservative #elonmusk #hurricane #hurricanemaria #northcarolina #faa #starlink #hurricanevictims",1524178,155016,7002,2024-10-07T22:00:49Z
News,Impactante operativo en Sinaloa por la Guardia Nacional,"#Sinaloa #EstadosUnidos

Un helicóptero militar surca el aire a toda velocidad, cazando a su presa: una camioneta blindada que huye a toda costa. Abajo, la Guardia Nacional despliega un operativo sin precedentes, coordinado con precisión por aire y tierra.",4602901,186649,3909,2024-10-06T22:07:37Z
Sports,PROOF that showing up MATTERS 🥹 w Mattie Westbrouck- #shorts,,7197862,542784,1398,2024-10-06T23:43:33Z
